ts,job_id,state,duration_ms,running_count,cp_completed,cp_failed,cp_inprogress,cp_last_dur_ms,cp_last_size,cp_total_count,num_cp_history
1777362390.9863958,2d966bebd813d4fc453e7505ba297640,RUNNING,137,0,0,0,0,0,0,0,0
1777362393.0475178,2d966bebd813d4fc453e7505ba297640,RUNNING,2188,0,0,0,0,0,0,0,0
1777362395.0726902,2d966bebd813d4fc453e7505ba297640,RUNNING,4212,0,0,0,1,0,0,1,1
1777362397.0947466,2d966bebd813d4fc453e7505ba297640,RUNNING,6226,0,0,0,1,0,0,1,1
1777362399.1034799,2d966bebd813d4fc453e7505ba297640,RUNNING,8234,0,0,0,1,0,0,1,1
1777362401.1134694,2d966bebd813d4fc453e7505ba297640,RUNNING,10244,0,0,0,1,0,0,1,1
1777362403.121921,2d966bebd813d4fc453e7505ba297640,RUNNING,12253,0,0,0,1,0,0,1,1
1777362405.1321006,2d966bebd813d4fc453e7505ba297640,RUNNING,14262,0,0,0,1,0,0,1,1
1777362407.1415167,2d966bebd813d4fc453e7505ba297640,RUNNING,16272,0,0,0,1,0,0,1,1
1777362409.1513174,2d966bebd813d4fc453e7505ba297640,RUNNING,18281,0,0,0,1,0,0,1,1
1777362411.1591716,2d966bebd813d4fc453e7505ba297640,RUNNING,20290,0,0,0,1,0,0,1,1
1777362413.1691968,2d966bebd813d4fc453e7505ba297640,RUNNING,22299,0,0,0,1,0,0,1,1
1777362415.1773868,2d966bebd813d4fc453e7505ba297640,RUNNING,24308,0,0,0,1,0,0,1,1
1777362417.187155,2d966bebd813d4fc453e7505ba297640,RUNNING,26317,0,0,0,1,0,0,1,1
1777362419.1953256,2d966bebd813d4fc453e7505ba297640,RUNNING,28325,0,0,0,1,0,0,1,1
1777362421.2065172,2d966bebd813d4fc453e7505ba297640,RUNNING,30337,0,0,0,1,0,0,1,1
1777362423.2164342,2d966bebd813d4fc453e7505ba297640,RUNNING,32347,0,1,0,0,29332,0,1,1
1777362425.2249756,2d966bebd813d4fc453e7505ba297640,RUNNING,34355,0,1,0,0,29332,0,1,1
1777362427.2334812,2d966bebd813d4fc453e7505ba297640,RUNNING,36364,0,1,0,1,29332,0,2,2
1777362429.241693,2d966bebd813d4fc453e7505ba297640,RUNNING,38372,0,1,0,1,29332,0,2,2
1777362431.2507114,2d966bebd813d4fc453e7505ba297640,RUNNING,40381,0,2,0,0,6106,0,2,2
1777362433.2600477,2d966bebd813d4fc453e7505ba297640,RUNNING,42389,0,2,0,0,6106,0,2,2
1777362435.2678285,2d966bebd813d4fc453e7505ba297640,RUNNING,44398,0,2,0,1,6106,0,3,3
1777362437.2767634,2d966bebd813d4fc453e7505ba297640,RUNNING,46406,0,2,0,1,6106,0,3,3
1777362439.2848945,2d966bebd813d4fc453e7505ba297640,RUNNING,48415,0,2,0,1,6106,0,3,3
1777362441.2927234,2d966bebd813d4fc453e7505ba297640,RUNNING,50422,0,2,0,1,6106,0,3,3
1777362443.2998424,2d966bebd813d4fc453e7505ba297640,RUNNING,52430,0,2,0,1,6106,0,3,3
1777362445.3079057,2d966bebd813d4fc453e7505ba297640,RUNNING,54437,0,2,0,1,6106,0,3,3
1777362447.3155725,2d966bebd813d4fc453e7505ba297640,RUNNING,56446,0,2,0,1,6106,0,3,3
1777362449.32457,2d966bebd813d4fc453e7505ba297640,RUNNING,58454,0,2,0,1,6106,0,3,3
1777362451.3307712,2d966bebd813d4fc453e7505ba297640,RUNNING,60461,0,2,0,1,6106,0,3,3
1777362453.340208,2d966bebd813d4fc453e7505ba297640,RUNNING,62470,0,2,0,1,6106,0,3,3
